Club,Position,Probability,Cumulative
Cruzeiro / MG,7,0.171004,0.288775
Coritiba / PR,7,0.026296,0.987123
Flamengo / RJ,7,0.000239,0.999981
Athletico Paranaense / PR,7,0.192695,0.332822
Goiás / GO,7,3.2e-05,0.999996
Atlético Mineiro / MG,7,2.5e-05,0.9999979999999999
Red Bull Bragantino / SP,7,0.01046,0.996749
Corinthians / SP,7,0.170397,0.305169
Coritiba / PR,6,0.008799,0.995922
América / MG,6,0.003149,0.9988250000000001
Grêmio / RS,6,0.009244,0.013087000000000001
Vasco da Gama / RJ,6,0.107787,0.892909
Cuiabá / MT,6,0.172508,0.38990199999999997
Botafogo / RJ,6,0.00067,0.000789
Goiás / GO,6,4e-06,1.0
Palmeiras / SP,6,0.000206,0.999967
São Paulo / SP,6,0.111101,0.207619
Atlético Mineiro / MG,6,2e-06,1.0
Flamengo / RJ,6,1.6e-05,0.999997
Cruzeiro / MG,6,0.193262,0.482037
Fluminense / RJ,6,0.000163,0.99997
Athletico Paranaense / PR,6,0.196984,0.529806
Internacional / RS,6,0.006088,0.997235
Red Bull Bragantino / SP,6,0.002465,0.999214
Corinthians / SP,6,0.187552,0.49272099999999996
Botafogo / RJ,5,0.002708,0.003497
Corinthians / SP,5,0.183512,0.676233
Red Bull Bragantino / SP,5,0.000617,0.999831
Internacional / RS,5,0.001997,0.999232
Palmeiras / SP,5,2.6e-05,0.999993
Cuiabá / MT,5,0.191502,0.581404
Flamengo / RJ,5,3e-06,1.0
Coritiba / PR,5,0.002984,0.998906
Fluminense / RJ,5,2.6e-05,0.999996
Grêmio / RS,5,0.02252,0.035607
América / MG,5,0.000878,0.999703
São Paulo / SP,5,0.160609,0.368228
Athletico Paranaense / PR,5,0.179791,0.709597
Cruzeiro / MG,5,0.191579,0.673616
Vasco da Gama / RJ,5,0.061248,0.954157
Botafogo / RJ,4,0.010269,0.013766
América / MG,4,0.000243,0.999946
Cruzeiro / MG,4,0.169081,0.842697
Coritiba / PR,4,0.000855,0.999761
Red Bull Bragantino / SP,4,0.00015,0.999981
Corinthians / SP,4,0.163961,0.840194
Palmeiras / SP,4,7e-06,1.0
Cuiabá / MT,4,0.196522,0.777926
Vasco da Gama / RJ,4,0.031527,0.985684
Fluminense / RJ,4,3e-06,0.999999
Internacional / RS,4,0.000618,0.99985
Grêmio / RS,4,0.053326,0.088933
Athletico Paranaense / PR,4,0.152087,0.861684
São Paulo / SP,4,0.221351,0.589579
Vasco da Gama / RJ,3,0.012703,0.998387
São Paulo / SP,3,0.287483,0.877062
Fluminense / RJ,3,1e-06,1.0
Cruzeiro / MG,3,0.12197,0.9646669999999999
Red Bull Bragantino / SP,3,1.9e-05,1.0
Internacional / RS,3,0.000139,0.999989
Grêmio / RS,3,0.139572,0.228505
Athletico Paranaense / PR,3,0.107386,0.96907
América / MG,3,5.3e-05,0.9999990000000001
Cuiabá / MT,3,0.165558,0.943484
Botafogo / RJ,3,0.044108,0.057874
Corinthians / SP,3,0.12078,0.960974
Coritiba / PR,3,0.000228,0.999989
Cruzeiro / MG,2,0.031395,0.996062
Athletico Paranaense / PR,2,0.027345,0.996415
Botafogo / RJ,2,0.25435,0.312224
Corinthians / SP,2,0.034606,0.99558
Coritiba / PR,2,1.1e-05,1.0
São Paulo / SP,2,0.103349,0.980411
Vasco da Gama / RJ,2,0.001541,0.999928
Cuiabá / MT,2,0.04885,0.992334
Grêmio / RS,2,0.498541,0.7270460000000001
Internacional / RS,2,1.1e-05,1.0
América / MG,2,1e-06,1.0
Cruzeiro / MG,1,0.003938,1.0
São Paulo / SP,1,0.019589,1.0
Cuiabá / MT,1,0.007666,1.0
Vasco da Gama / RJ,1,7.2e-05,1.0
Corinthians / SP,1,0.00442,1.0
Grêmio / RS,1,0.272954,1.0
Botafogo / RJ,1,0.687776,1.0
Athletico Paranaense / PR,1,0.003585,1.0
