Club,Position,Probability,Cumulative
Criciúma / SC,9,0.023006,0.032747
Guarani / SP,9,0.075413,0.12407499999999999
Juventude / RS,9,0.033631,0.050654000000000005
Chapecoense / SC,9,0.000758,0.999835
Ceará / CE,9,0.234032,0.737888
Ituano / SP,9,0.017571,0.993517
Vitória / BA,8,0.010131,0.01304
Juventude / RS,8,0.086846,0.1375
Criciúma / SC,8,0.066734,0.099481
Chapecoense / SC,8,0.000142,0.999977
Ponte Preta / SP,8,0.004576,0.998804
Sampaio Corrêa / MA,8,0.000113,0.999981
Ituano / SP,8,0.005193,0.99871
Avaí / SC,8,0.000352,0.999946
Novorizontino / SP,8,0.002769,0.00337
Sport / PE,8,0.000964,0.001117
Tombense / MG,8,0.000153,0.9999830000000001
Botafogo / SP,8,0.045405,0.978631
Guarani / SP,8,0.166111,0.290186
Atlético / GO,8,0.085145,0.950483
Londrina / PR,8,6e-06,1.0
Mirassol / SP,8,0.279122,0.6453639999999999
CRB / AL,8,0.069306,0.959003
Ceará / CE,8,0.151727,0.8896149999999999
Vila Nova / GO,8,0.025205,0.03480900000000001
Guarani / SP,7,0.254644,0.5448299999999999
Juventude / RS,7,0.165876,0.303376
Ceará / CE,7,0.067893,0.9575079999999999
Mirassol / SP,7,0.17867,0.8240339999999999
Chapecoense / SC,7,2.1e-05,0.9999979999999999
Botafogo / SP,7,0.015204,0.993835
Criciúma / SC,7,0.141458,0.24093900000000001
Ponte Preta / SP,7,0.001002,0.999806
Sampaio Corrêa / MA,7,1.5e-05,0.999996
CRB / AL,7,0.026993,0.985996
Atlético / GO,7,0.032847,0.98333
Ituano / SP,7,0.00104,0.99975
Novorizontino / SP,7,0.011154,0.014524
Avaí / SC,7,4.6e-05,0.999992
Sport / PE,7,0.004558,0.005675
Vila Nova / GO,7,0.06657,0.10137900000000001
Vitória / BA,7,0.031994,0.045034000000000005
Tombense / MG,7,1.5e-05,0.999998
Vitória / BA,6,0.06714,0.11217400000000001
Avaí / SC,6,6e-06,0.9999979999999999
Guarani / SP,6,0.198905,0.743735
Sport / PE,6,0.013454,0.019129
Sampaio Corrêa / MA,6,4e-06,1.0
Botafogo / SP,6,0.004457,0.998292
Criciúma / SC,6,0.198622,0.439561
Tombense / MG,6,2e-06,1.0
Vila Nova / GO,6,0.124054,0.225433
Atlético / GO,6,0.011523,0.994853
Ituano / SP,6,0.000193,0.999943
Chapecoense / SC,6,2e-06,1.0
Ponte Preta / SP,6,0.000164,0.99997
Ceará / CE,6,0.027409,0.9849169999999999
Mirassol / SP,6,0.096925,0.920959
Juventude / RS,6,0.218408,0.521784
CRB / AL,6,0.00969,0.9956860000000001
Novorizontino / SP,6,0.029042,0.043566
Guarani / SP,5,0.12916,0.872895
Juventude / RS,5,0.198134,0.7199180000000001
Mirassol / SP,5,0.048288,0.969247
Ponte Preta / SP,5,2.9e-05,0.999999
CRB / AL,5,0.003177,0.9988630000000001
Criciúma / SC,5,0.208548,0.648109
Atlético / GO,5,0.003776,0.998629
Avaí / SC,5,2e-06,1.0
Vila Nova / GO,5,0.185059,0.410492
Novorizontino / SP,5,0.063489,0.10705500000000001
Sport / PE,5,0.03252,0.051649
Ceará / CE,5,0.010545,0.995462
Botafogo / SP,5,0.001288,0.99958
Ituano / SP,5,4.8e-05,0.999991
Vitória / BA,5,0.115937,0.228111
Juventude / RS,4,0.14118,0.861098
Vitória / BA,4,0.177074,0.405185
Ceará / CE,4,0.003422,0.998884
CRB / AL,4,0.000887,0.99975
Ponte Preta / SP,4,1e-06,1.0
Atlético / GO,4,0.001051,0.99968
Ituano / SP,4,8e-06,0.999999
Criciúma / SC,4,0.165146,0.813255
Vila Nova / GO,4,0.227156,0.637648
Mirassol / SP,4,0.020873,0.9901199999999999
Novorizontino / SP,4,0.119898,0.22695300000000002
Botafogo / SP,4,0.000346,0.999926
Sport / PE,4,0.069379,0.121028
Guarani / SP,4,0.073579,0.946474
