Club,Position,Probability,Cumulative
Atlético / GO,7,0.056339,0.961351
Vila Nova / GO,7,0.146142,0.232607
Criciúma / SC,7,0.178085,0.28697799999999996
Juventude / RS,7,0.093684,0.140754
Novorizontino / SP,7,0.08519,0.126062
Guarani / SP,7,0.193807,0.307634
Ceará / CE,7,0.065757,0.9537559999999999
Sampaio Corrêa / MA,7,1e-06,1.0
Ituano / SP,7,0.018324,0.99152
Sport / PE,6,0.066108,0.11017099999999999
Chapecoense / SC,6,3e-06,1.0
Ceará / CE,6,0.026854,0.98061
Guarani / SP,6,0.192133,0.499767
Ponte Preta / SP,6,4e-05,0.999995
Juventude / RS,6,0.130838,0.271592
Mirassol / SP,6,0.027512,0.981589
Criciúma / SC,6,0.186447,0.473425
Ituano / SP,6,0.005712,0.997232
Vila Nova / GO,6,0.169493,0.4021
Novorizontino / SP,6,0.119409,0.245471
Atlético / GO,6,0.022553,0.983904
CRB / AL,6,0.014215,0.99159
Vitória / BA,6,0.038446,0.062628
Botafogo / SP,6,0.000237,0.999926
Sport / PE,5,0.103453,0.21362399999999998
Juventude / RS,5,0.15267,0.42426200000000003
Atlético / GO,5,0.009591,0.993495
Vila Nova / GO,5,0.16723,0.56933
Vitória / BA,5,0.061485,0.124113
Guarani / SP,5,0.166534,0.666301
Ituano / SP,5,0.001889,0.999121
Botafogo / SP,5,6.1e-05,0.999987
Criciúma / SC,5,0.164243,0.637668
Ceará / CE,5,0.011738,0.992348
Novorizontino / SP,5,0.14454,0.390011
Mirassol / SP,5,0.011245,0.992834
Ponte Preta / SP,5,3e-06,0.9999979999999999
CRB / AL,5,0.005318,0.996908
Ponte Preta / SP,4,2e-06,1.0
Ceará / CE,4,0.004957,0.997305
Vila Nova / GO,4,0.151117,0.7204470000000001
Ituano / SP,4,0.000636,0.999757
Vitória / BA,4,0.092508,0.216621
Novorizontino / SP,4,0.160834,0.550845
Mirassol / SP,4,0.004668,0.997502
Juventude / RS,4,0.162529,0.5867910000000001
Atlético / GO,4,0.004242,0.997737
Criciúma / SC,4,0.136183,0.773851
Botafogo / SP,4,1.1e-05,0.9999979999999999
CRB / AL,4,0.002153,0.999061
Guarani / SP,4,0.135032,0.8013330000000001
Sport / PE,4,0.145128,0.358752
Ituano / SP,3,0.000194,0.999951
Guarani / SP,3,0.101743,0.903076
Vila Nova / GO,3,0.127189,0.8476360000000001
Botafogo / SP,3,2e-06,0.9999999999999999
Criciúma / SC,3,0.107534,0.881385
Sport / PE,3,0.191226,0.5499780000000001
Novorizontino / SP,3,0.170301,0.7211460000000001
