Player,Club,Championship,Date
189708,Santos / SP,CdB,22/05/2013
185339,Santos / SP,CdB,22/05/2013
141516,Santos / SP,CdB,22/05/2013
155840,Santos / SP,CdB,22/05/2013
125101,Santos / SP,CdB,22/05/2013
161941,Santos / SP,CdB,22/05/2013
303981,Santos / SP,CdB,22/05/2013
311020,Santos / SP,CdB,22/05/2013
292253,Santos / SP,CdB,22/05/2013
136752,Santos / SP,CdB,22/05/2013
292791,Santos / SP,CdB,22/05/2013
167167,Joinville / SC,CdB,22/05/2013
402243,Joinville / SC,CdB,22/05/2013
151596,Joinville / SC,CdB,22/05/2013
169226,Joinville / SC,CdB,22/05/2013
305555,Joinville / SC,CdB,22/05/2013
150425,Joinville / SC,CdB,22/05/2013
160061,Joinville / SC,CdB,22/05/2013
146969,Joinville / SC,CdB,22/05/2013
137283,Joinville / SC,CdB,22/05/2013
172036,Joinville / SC,CdB,22/05/2013
177606,Joinville / SC,CdB,22/05/2013
180258,Joinville / SC,CdB,22/05/2013
383974,Santos / SP,CdB,22/05/2013
298282,Joinville / SC,CdB,22/05/2013
138185,Betim / MG,CdB,15/05/2013
179111,Betim / MG,CdB,15/05/2013
174237,Betim / MG,CdB,15/05/2013
189684,Betim / MG,CdB,15/05/2013
174380,Betim / MG,CdB,15/05/2013
167128,Betim / MG,CdB,15/05/2013
166237,Betim / MG,CdB,15/05/2013
191623,Betim / MG,CdB,15/05/2013
299878,Betim / MG,CdB,15/05/2013
165391,Betim / MG,CdB,15/05/2013
178698,Betim / MG,CdB,15/05/2013
303388,CRAC / GO,CdB,15/05/2013
353568,CRAC / GO,CdB,15/05/2013
160548,CRAC / GO,CdB,15/05/2013
146792,CRAC / GO,CdB,15/05/2013
303253,CRAC / GO,CdB,15/05/2013
139032,CRAC / GO,CdB,15/05/2013
337332,CRAC / GO,CdB,15/05/2013
131035,CRAC / GO,CdB,15/05/2013
174167,CRAC / GO,CdB,15/05/2013
312015,CRAC / GO,CdB,15/05/2013
172400,CRAC / GO,CdB,15/05/2013
152904,Betim / MG,CdB,15/05/2013
186784,Betim / MG,CdB,15/05/2013
320870,CRAC / GO,CdB,15/05/2013
291816,Betim / MG,CdB,15/05/2013
179232,CRAC / GO,CdB,15/05/2013
148542,CRAC / GO,CdB,15/05/2013
157287,Bahia / BA,CdB,15/05/2013
